"Antimicrobial";"Bacterium";"M0.002";"M0.004";"M0.008";"M0.016";"M0.032";"M0.064";"M0.125";"M0.25";"M0.5";"M1";"M2";"M4";"M8";"M16";"M32";"M64";"M128";"M256";"M512";"ECOFF";"Distributions";"Observations"
"Ampicillin";"Staphylococcus coagulase negative";0;0;0;0;1;6;78;31;133;114;62;78;146;83;33;0;2;0;0;;3;767
"Ampicillin";"Staphylococcus epidermidis";0;0;0;0;0;0;155;109;137;508;864;800;1025;891;628;0;0;0;0;;1;5117
"Ampicillin";"Staphylococcus haemolyticus";0;0;0;0;0;0;20;4;8;44;39;28;43;72;396;0;0;0;0;;1;654
"Ampicillin";"Staphylococcus hominis";0;0;0;0;0;0;13;15;22;64;94;52;84;98;67;0;0;0;0;;1;509
"Ampicillin";"Staphylococcus lugdunensis";0;0;0;0;0;0;1;9;6;18;31;9;4;2;6;0;0;0;0;;1;86
"Ampicillin";"Staphylococcus saprophyticus";0;0;0;0;0;4;11;92;26;0;0;3;2;3;1;0;0;0;0;;2;142
"Ampicillin";"Staphylococcus simulans";0;0;0;0;0;0;12;1;3;14;16;9;16;14;23;0;0;0;0;;1;108
"Ampicillin";"Staphylococcus warneri";0;0;0;0;0;0;8;1;5;39;32;18;11;23;25;0;0;0;0;;1;162
"Ampicillin";"Staphylococcus xylosis";0;0;0;0;0;0;2;1;1;7;9;7;9;7;5;0;0;0;0;;1;48
"Ampicillin";"Stenotrophomonas maltophilia";0;0;0;0;0;0;0;0;0;4;13;14;20;45;2097;50;0;0;0;;3;2243
"Ampicillin";"Streptococcus acidominimus";0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;;1;8
"Ampicillin";"Streptococcus agalactiae";0;0;0;1;8;559;190;11;0;1;2;0;0;0;0;0;0;0;0;0.25;5;772
"Ampicillin";"Streptococcus mitis";0;0;0;0;0;0;54;136;24;100;125;12;15;20;8;0;0;0;0;;2;494
"Ampicillin";"Streptococcus pneumoniae";0;16;169;391;91;34;17;12;17;8;27;8;3;1;0;0;0;0;0;0.064;4;794
